No.,Category,Title,URL,Replies,Views
297,Devices & Integrations,Is there any disbenefit of using a Fibaro Double Switch over a Single Switch for 1 gang switches?,https://community.smartthings.com/t/is-there-any-disbenefit-of-using-a-fibaro-double-switch-over-a-single-switch-for-1-gang-switches/196352,1,38
298,Devices & Integrations,Updates to Google integration,https://community.smartthings.com/t/updates-to-google-integration/192849,107,2859
299,Devices & Integrations,Smartthings - Refresh status of Hue Lights,https://community.smartthings.com/t/smartthings-refresh-status-of-hue-lights/196344,1,46
300,Writing Device Types,"Need developer input: Capability ""Momentary"" is needed in the new API!",https://community.smartthings.com/t/need-developer-input-capability-momentary-is-needed-in-the-new-api/149770,26,753
301,Devices & Integrations,Xiaomi & Aqara works but not showing temp on dash,https://community.smartthings.com/t/xiaomi-aqara-works-but-not-showing-temp-on-dash/196265,6,69
302,Devices & Integrations,Neo Coolcam Motion Sensor-NAS-PD02Z- how time pair to SmartThings? <solved>,https://community.smartthings.com/t/neo-coolcam-motion-sensor-nas-pd02z-how-time-pair-to-smartthings-solved/196142,7,86
303,Community Created SmartApps,[RELEASE] ASUSWRT Wifi Presence,https://community.smartthings.com/t/release-asuswrt-wifi-presence/37802,376,31147
304,SmartApps & Automations,"Use cloud cover data from a 3rd party provider (OpenMapWeather,WU,EcoBee) in Automation",https://community.smartthings.com/t/use-cloud-cover-data-from-a-3rd-party-provider-openmapweather-wu-ecobee-in-automation/196282,4,62
305,Connected Things,Has anyone used LivingWise Zigbee dimmer/switch/outlet? (Rebranded Orvibo),https://community.smartthings.com/t/has-anyone-used-livingwise-zigbee-dimmer-switch-outlet-rebranded-orvibo/166092,5,904
306,Wiki,FAQ: Creating a virtual Device,https://community.smartthings.com/t/faq-creating-a-virtual-device/11282,136,154605
307,Connected Things,Ring Door view / Peephole cam integration with Smart TV,https://community.smartthings.com/t/ring-door-view-peephole-cam-integration-with-smart-tv/188232,5,259
308,SmartApps & Automations,Echo speaks help,https://community.smartthings.com/t/echo-speaks-help/196220,5,71
309,Devices & Integrations,Fibaro Smart Implant,https://community.smartthings.com/t/fibaro-smart-implant/158744,142,5336
310,SmartThings (Samsung Connect),Notification not coming (March 2019),https://community.smartthings.com/t/notification-not-coming-march-2019/159160,12,4683
311,Community Created Device Types,Hue motion sensor (no hue bridge),https://community.smartthings.com/t/hue-motion-sensor-no-hue-bridge/137836,67,8771
312,Devices & Integrations,Eufycam E integration?,https://community.smartthings.com/t/eufycam-e-integration/168694,7,1165
313,Devices & Integrations,HomeSeer HSM200 Support,https://community.smartthings.com/t/homeseer-hsm200-support/9209,114,11656
314,Devices & Integrations,Anybody have any ideas in a Smart lock that will work for this setup,https://community.smartthings.com/t/anybody-have-any-ideas-in-a-smart-lock-that-will-work-for-this-setup/196240,16,83
315,Devices & Integrations,Looking to automate wall islandaire AC unit,https://community.smartthings.com/t/looking-to-automate-wall-islandaire-ac-unit/186220,4,57
316,Devices & Integrations,Pool temperature sensor or temp sensor that accepts external sensor,https://community.smartthings.com/t/pool-temperature-sensor-or-temp-sensor-that-accepts-external-sensor/18117,24,13185
317,Devices & Integrations,Smartthings Keywe handling with Rboyapps.com Device Handler not working,https://community.smartthings.com/t/smartthings-keywe-handling-with-rboyapps-com-device-handler-not-working/196117,4,55
318,Community Created SmartApps,[RELEASE] Best zoned Heating/Cooling Solutions for SmartThings,https://community.smartthings.com/t/release-best-zoned-heating-cooling-solutions-for-smartthings/38349,246,27099
319,Devices & Integrations,Bought a hue outdoor sensor - not supported in SmartThings?,https://community.smartthings.com/t/bought-a-hue-outdoor-sensor-not-supported-in-smartthings/160003,26,2884
320,Projects & Stories,New user looking for help connecting Nest & Chamberlain Products,https://community.smartthings.com/t/new-user-looking-for-help-connecting-nest-chamberlain-products/194964,10,160
321,Community Created Device Types,[RELEASE] Aeotec Siren 6,https://community.smartthings.com/t/release-aeotec-siren-6/164654,106,5799
322,Deals,KASA deals on Amazon,https://community.smartthings.com/t/kasa-deals-on-amazon/196280,1,91
323,SmartApps & Automations,Old automations work not new ones,https://community.smartthings.com/t/old-automations-work-not-new-ones/196273,5,57
324,Devices & Integrations,New SmartThings Alexa skill (2020),https://community.smartthings.com/t/new-smartthings-alexa-skill-2020/191101,171,4063
325,Automation Ideas,Increase / decrease brightness per click on IKEA Tradfri Dimmer?,https://community.smartthings.com/t/increase-decrease-brightness-per-click-on-ikea-tradfri-dimmer/185129,22,390
326,Connected Things,Sengled Sengled Smart LED with Motion Sensor PAR38 Bulb (E13-N11WA),https://community.smartthings.com/t/sengled-sengled-smart-led-with-motion-sensor-par38-bulb-e13-n11wa/159708,33,1776
327,Community Created Device Types,[RELEASE] Insteon Hub 2244 and 2245 Dimmer and On/Off Plugs/Switches/Bulbs,https://community.smartthings.com/t/release-insteon-hub-2244-and-2245-dimmer-and-on-off-plugs-switches-bulbs/68144,178,13870
328,Community Created SmartApps,[Release] BigTalker 2.x,https://community.smartthings.com/t/release-bigtalker-2-x/118105,337,23957
329,Community Created Device Types,[RELEASE] Elk M1 Alarm Interface,https://community.smartthings.com/t/release-elk-m1-alarm-interface/132579,69,2556
330,Projects & Stories,Temperature Map in Smartthings?,https://community.smartthings.com/t/temperature-map-in-smartthings/195542,3,138
331,Devices & Integrations,Netatmo Presence Camera,https://community.smartthings.com/t/netatmo-presence-camera/74642,9,1761
332,Devices & Integrations,How to convert unit from Fahrenheit to Celsius on multipurpose sensor?,https://community.smartthings.com/t/how-to-convert-unit-from-fahrenheit-to-celsius-on-multipurpose-sensor/195838,3,63
333,Projects & Stories,[Release] Echo Speaks v3 + Actions,https://community.smartthings.com/t/release-echo-speaks-v3-actions/173073,839,23195
334,Connected Things,Inovelli dual channel outlet issues,https://community.smartthings.com/t/inovelli-dual-channel-outlet-issues/96524,151,9035
335,Devices & Integrations,All device handlers got broken overnight (3 June 2020),https://community.smartthings.com/t/all-device-handlers-got-broken-overnight-3-june-2020/196124,19,322
336,Community Created Device Types,[RELEASE] Heatmiser Neostat Integration,https://community.smartthings.com/t/release-heatmiser-neostat-integration/88204,207,10568
337,Devices & Integrations,Amazon Echo & Rachio,https://community.smartthings.com/t/amazon-echo-rachio/48889,10,939
338,Devices & Integrations,Xiaomi Aqara temperature/humidity sensors. Do I need a gateway?,https://community.smartthings.com/t/xiaomi-aqara-temperature-humidity-sensors-do-i-need-a-gateway/162240,17,12912
339,Devices & Integrations,Arrival Sensor in Australia,https://community.smartthings.com/t/arrival-sensor-in-australia/184916,7,145
340,SmartThings (Samsung Connect),History Missing,https://community.smartthings.com/t/history-missing/191491,38,431
341,Community Created Device Types,[RELEASE] IKEA FYRTUR Window blinds,https://community.smartthings.com/t/release-ikea-fyrtur-window-blinds/171955,231,21383
342,Writing SmartApps,Migrating to new SmartThings platform,https://community.smartthings.com/t/migrating-to-new-smartthings-platform/195355,4,166
343,Community Created Device Types,[RELEASE] Wemo Maker,https://community.smartthings.com/t/release-wemo-maker/46098,62,9207
344,Devices & Integrations,Aeon HEM v1 DH Discussion (DTH link in post 411),https://community.smartthings.com/t/aeon-hem-v1-dh-discussion-dth-link-in-post-411/60502,434,23157
345,Devices & Integrations,Integrating smart lamps and existing dimmers (UK),https://community.smartthings.com/t/integrating-smart-lamps-and-existing-dimmers-uk/196083,23,93
346,Writing SmartApps,SmartApp that triggers scenes,https://community.smartthings.com/t/smartapp-that-triggers-scenes/185335,12,246
347,Devices & Integrations,Smart home monitor will revert to arm even though i disarmed,https://community.smartthings.com/t/smart-home-monitor-will-revert-to-arm-even-though-i-disarmed/195988,7,88
348,Devices & Integrations,[RELEASE] Homebridge SmartThings v2.0,https://community.smartthings.com/t/release-homebridge-smartthings-v2-0/179589,156,7234
349,Apps & Clients,Duplicate Scenes in Alexa,https://community.smartthings.com/t/duplicate-scenes-in-alexa/196207,1,46
350,Devices & Integrations,Finally ! fully automated coffee machine - Delonghi Primadonna Elite,https://community.smartthings.com/t/finally-fully-automated-coffee-machine-delonghi-primadonna-elite/196196,4,86
351,webCoRE,Routines or Automations in Webcore?,https://community.smartthings.com/t/routines-or-automations-in-webcore/196173,18,96
352,Automation Ideas,Calling a URL when Switch is Turned on?,https://community.smartthings.com/t/calling-a-url-when-switch-is-turned-on/71905,4,1855
353,Community Created Device Types,VLC Thing. A Poor Man's Sonos. Version 2.0 Released 12/22/2016,https://community.smartthings.com/t/vlc-thing-a-poor-mans-sonos-version-2-0-released-12-22-2016/5433,351,60846
354,Community Created Device Types,"Original & Aqara Xiaomi Zigbee Sensors (contact, temp, motion, button, outlet, leak, etc)",https://community.smartthings.com/t/original-aqara-xiaomi-zigbee-sensors-contact-temp-motion-button-outlet-leak-etc/113253,1723,136407
355,General Discussion,Fibaro Single Switch 2 no longer responds to status (January 2020),https://community.smartthings.com/t/fibaro-single-switch-2-no-longer-responds-to-status-january-2020/183793,112,1007
356,Connected Things,Ikea Tradfri Remote Control,https://community.smartthings.com/t/ikea-tradfri-remote-control/174364,126,8462
357,Devices & Integrations,Is smart home adapter for fridge (HD39N1230GW) available?,https://community.smartthings.com/t/is-smart-home-adapter-for-fridge-hd39n1230gw-available/196188,2,85
358,Devices & Integrations,Google Home Yale Conexis l1 with Smartthings,https://community.smartthings.com/t/google-home-yale-conexis-l1-with-smartthings/196016,5,87
359,Community Created SmartApps,ABC - Advanced Button Controller - Newest Edition,https://community.smartthings.com/t/abc-advanced-button-controller-newest-edition/177571,90,4423
360,General Discussion,Qubino 1 Relay with Fuse,https://community.smartthings.com/t/qubino-1-relay-with-fuse/84999,12,734
361,Devices & Integrations,Hive leak sensor,https://community.smartthings.com/t/hive-leak-sensor/196179,1,37
362,Writing SmartApps,Different Lifecycle payloads have different format AuthTokens,https://community.smartthings.com/t/different-lifecycle-payloads-have-different-format-authtokens/196146,3,47
363,SmartApps & Automations,Problem with speaker-companion,https://community.smartthings.com/t/problem-with-speaker-companion/196178,1,42
364,Devices & Integrations,Speaker Companion,https://community.smartthings.com/t/speaker-companion/194795,1,100
365,Devices & Integrations,Inovelli Lag Issues,https://community.smartthings.com/t/inovelli-lag-issues/195994,12,187
366,How-To,How to: SmartThings_MyQ SmartApp using MyQ Sensors with IFTTT,https://community.smartthings.com/t/how-to-smartthings-myq-smartapp-using-myq-sensors-with-ifttt/149601,68,30264
367,Deals,Lutron Aurora Dimmer $29.95 at Amazon (Hue bridge required),https://community.smartthings.com/t/lutron-aurora-dimmer-29-95-at-amazon-hue-bridge-required/196164,2,97
368,Devices & Integrations,Wyze sensor as simulated contact sensor in SmartThings?,https://community.smartthings.com/t/wyze-sensor-as-simulated-contact-sensor-in-smartthings/184523,12,255
369,Devices & Integrations,Z-Wave Issues with Firmware Update 30.3,https://community.smartthings.com/t/z-wave-issues-with-firmware-update-30-3/192759,203,2215
370,Connected Things,Magic Home Led WiFi controller problems,https://community.smartthings.com/t/magic-home-led-wifi-controller-problems/114056,13,42357
371,Meta,List of official representatives from Third Party Companies?,https://community.smartthings.com/t/list-of-official-representatives-from-third-party-companies/126667,15,925
372,Connected Things,No Live logging on Rachio Sprinkler Valve actions,https://community.smartthings.com/t/no-live-logging-on-rachio-sprinkler-valve-actions/195804,3,51
373,Announcements,Alpha Opportunity: Browser-Based Web Portal,https://community.smartthings.com/t/alpha-opportunity-browser-based-web-portal/163566,92,9574
374,General Discussion,Lot of Hibernate & timeout issues in the past week or so (June 2020),https://community.smartthings.com/t/lot-of-hibernate-timeout-issues-in-the-past-week-or-so-june-2020/196141,2,62
375,Connected Things,UK Light switches – My experiences (2020),https://community.smartthings.com/t/uk-light-switches-my-experiences-2020/196035,6,123
376,General Discussion,"Disconnected hub, can't get it back online",https://community.smartthings.com/t/disconnected-hub-cant-get-it-back-online/157228,20,571
377,Apps & Clients,BUG: Unable to see all OCF Network Audio Player type from Google Assistant,https://community.smartthings.com/t/bug-unable-to-see-all-ocf-network-audio-player-type-from-google-assistant/195517,12,113
378,FAQ,FAQ: Create a Virtual Timer (turn light off after X Minutes) (SmartThings Classic) (2016),https://community.smartthings.com/t/faq-create-a-virtual-timer-turn-light-off-after-x-minutes-smartthings-classic-2016/56186,10,2739
379,FAQ,Support of OTA firmware updates for Z-Wave / Z-Wave Plus devices,https://community.smartthings.com/t/support-of-ota-firmware-updates-for-z-wave-z-wave-plus-devices/104246,230,23067
380,Apps & Clients,Thermostat Tiles Gone Missing,https://community.smartthings.com/t/thermostat-tiles-gone-missing/196107,3,63
381,webCoRE,"New SmartThings app - Can't add new, or open existing Smartapps",https://community.smartthings.com/t/new-smartthings-app-cant-add-new-or-open-existing-smartapps/192872,7,214
382,Android,Icons and background missing in classic app,https://community.smartthings.com/t/icons-and-background-missing-in-classic-app/195785,7,109
383,Devices & Integrations,Anyone have the samsung air conditioner working with ST?,https://community.smartthings.com/t/anyone-have-the-samsung-air-conditioner-working-with-st/47351,15,6472
384,Devices & Integrations,"Create ""Smart App"" that can switch inputSource on my Samsung soundbar (HW-N950/N960)",https://community.smartthings.com/t/create-smart-app-that-can-switch-inputsource-on-my-samsung-soundbar-hw-n950-n960/150217,31,3279
385,Devices & Integrations,Any suggestions on a button for smart life app?,https://community.smartthings.com/t/any-suggestions-on-a-button-for-smart-life-app/196118,5,67
386,Connected Things,Zwave repair perplexing results w/Fortrezz Water Valve,https://community.smartthings.com/t/zwave-repair-perplexing-results-w-fortrezz-water-valve/196108,3,41
387,Connected Things,Upgrading Philips Hue Hub,https://community.smartthings.com/t/upgrading-philips-hue-hub/165918,3,315
388,Community Created SmartApps,EchoSpeaks Routine using SmartThings (ST) Leak Sensor not Working,https://community.smartthings.com/t/echospeaks-routine-using-smartthings-st-leak-sensor-not-working/196053,2,46
389,Community Created Device Types,[RELEASE] Remotec ZXT-120 AC IR Controller (2015),https://community.smartthings.com/t/release-remotec-zxt-120-ac-ir-controller-2015/9902,322,27362
390,Devices & Integrations,Member access and device permissions,https://community.smartthings.com/t/member-access-and-device-permissions/196102,2,49
391,Apps & Clients,Anyone having issue bringing in account info into Classic App using Samsung account?,https://community.smartthings.com/t/anyone-having-issue-bringing-in-account-info-into-classic-app-using-samsung-account/196094,3,42
392,Automation Ideas,"Reboot Smartthings Hub Hourly, Daily?",https://community.smartthings.com/t/reboot-smartthings-hub-hourly-daily/4984,13,3979
393,Devices & Integrations,Ecosmart LED Smart Bulbs,https://community.smartthings.com/t/ecosmart-led-smart-bulbs/22854,96,41255
394,Devices & Integrations,Meross smart plug missing from Smartthings,https://community.smartthings.com/t/meross-smart-plug-missing-from-smartthings/196051,3,46
395,Community Created Device Types,[RELEASE] Greenwave PowerNode 6,https://community.smartthings.com/t/release-greenwave-powernode-6/113526,55,2047
396,Devices & Integrations,Hampton Bay fan controller not responding after I installed a second one in the house?,https://community.smartthings.com/t/hampton-bay-fan-controller-not-responding-after-i-installed-a-second-one-in-the-house/196010,4,44
397,Connected Things,Pushover Notifications using HTTP,https://community.smartthings.com/t/pushover-notifications-using-http/518,2,1738
398,Writing Device Types,SmartApp connector for Domoticz (or anything else),https://community.smartthings.com/t/smartapp-connector-for-domoticz-or-anything-else/196067,1,38
399,Devices & Integrations,Smartthings and Nethome Plus,https://community.smartthings.com/t/smartthings-and-nethome-plus/196078,2,37
400,Devices & Integrations,Govee DreamColor LED Strip Lights with WiFi and Smartthings?,https://community.smartthings.com/t/govee-dreamcolor-led-strip-lights-with-wifi-and-smartthings/172005,5,4552
401,Devices & Integrations,Schlage BE469NX unable to pair,https://community.smartthings.com/t/schlage-be469nx-unable-to-pair/12738,8,3304
402,Community Created SmartApps,Can't Remove Home Assistant smartapp,https://community.smartthings.com/t/cant-remove-home-assistant-smartapp/154371,76,8487
403,SmartApps & Automations,How to stop Smart Home Monitor alert reminders?,https://community.smartthings.com/t/how-to-stop-smart-home-monitor-alert-reminders/90174,17,6631
404,Devices & Integrations,Smartthings & Moisture Sensors,https://community.smartthings.com/t/smartthings-moisture-sensors/192353,17,255
405,Projects & Stories,Questions regarding moving to a new home,https://community.smartthings.com/t/questions-regarding-moving-to-a-new-home/185214,19,375
406,Community Created Device Types,[RELEASE] Leviton Decora Z-Wave Plus Dimmers (DZ6HD & DZ1KD),https://community.smartthings.com/t/release-leviton-decora-z-wave-plus-dimmers-dz6hd-dz1kd/89700,184,15682
407,Devices & Integrations,Bosch Motion Detector,https://community.smartthings.com/t/bosch-motion-detector/72127,225,30753
408,Devices & Integrations,Zwave Vibration Sensor to monitor Washer & Dryer,https://community.smartthings.com/t/zwave-vibration-sensor-to-monitor-washer-dryer/195788,9,120
409,Devices & Integrations,Suggestions for detecting when someone is laying on the bed?,https://community.smartthings.com/t/suggestions-for-detecting-when-someone-is-laying-on-the-bed/195789,15,198
410,Announcements,Community Update June 2020,https://community.smartthings.com/t/community-update-june-2020/195992,4,369
411,Devices & Integrations,Magic Home Led WiFi controller issue (to be connected to SmartThings),https://community.smartthings.com/t/magic-home-led-wifi-controller-issue-to-be-connected-to-smartthings/190087,5,109
412,Devices & Integrations,"Help - Replace Spectrum Router (RAC2v1K) with SmartThings (ET-WV525), Directly to Modem (E31U2V1)",https://community.smartthings.com/t/help-replace-spectrum-router-rac2v1k-with-smartthings-et-wv525-directly-to-modem-e31u2v1/195999,2,40
413,Community Created Device Types,[RELEASE] - Hive (Connect) V3.0 (British Gas Hive),https://community.smartthings.com/t/release-hive-connect-v3-0-british-gas-hive/103473,253,25316
414,Devices & Integrations,Control Outlets via Switch,https://community.smartthings.com/t/control-outlets-via-switch/196017,7,72
415,Automation Ideas,Power Outage and Zigbee Bulbs,https://community.smartthings.com/t/power-outage-and-zigbee-bulbs/49140,25,6340
416,Connected Things,Control US/CA 3A Smart ZigBee 3.0 Plug / Outlet with SmartThings,https://community.smartthings.com/t/control-us-ca-3a-smart-zigbee-3-0-plug-outlet-with-smartthings/127045,41,4682
417,Writing Device Types,How to manage multiple Hubs in the same location upon SmartApp installation?,https://community.smartthings.com/t/how-to-manage-multiple-hubs-in-the-same-location-upon-smartapp-installation/196038,1,36
418,Writing SmartApps,UserInfo - OAuth - how to get it,https://community.smartthings.com/t/userinfo-oauth-how-to-get-it/195539,9,131
419,Devices & Integrations,Samsung Speakers Getting Bricked LIke Sonos Tried in Their Own Misconceived Plan,https://community.smartthings.com/t/samsung-speakers-getting-bricked-like-sonos-tried-in-their-own-misconceived-plan/194488,7,167
420,Devices & Integrations,Requesting Assistance re: Ethernet Cable Choices,https://community.smartthings.com/t/requesting-assistance-re-ethernet-cable-choices/119169,33,1349
421,Projects & Stories,Pet Proximity Sensor (opposite of most devices),https://community.smartthings.com/t/pet-proximity-sensor-opposite-of-most-devices/185799,7,402
422,Devices & Integrations,Meross MTS100 garage door opener not a choice from within SmartThings app,https://community.smartthings.com/t/meross-mts100-garage-door-opener-not-a-choice-from-within-smartthings-app/183882,13,775
423,Connected Things,Device handler for new tv?,https://community.smartthings.com/t/device-handler-for-new-tv/195308,7,156
424,Connected Things,Google Home duplicated all my devices?,https://community.smartthings.com/t/google-home-duplicated-all-my-devices/196002,3,77
425,Devices & Integrations,Hue Lights - Smartthings app refresh,https://community.smartthings.com/t/hue-lights-smartthings-app-refresh/195963,6,79
426,Devices & Integrations,SmartThings WiFi speed test,https://community.smartthings.com/t/smartthings-wifi-speed-test/195344,2,90
427,Connected Things,Aeon Labs ZW095-A - Z-Wave Plus - Home Energy Meter Gen 5,https://community.smartthings.com/t/aeon-labs-zw095-a-z-wave-plus-home-energy-meter-gen-5/35590,114,15430
428,Devices & Integrations,"How to ""Link"" a Zwave accessory switch to Zwave Sylvania RGBW strips",https://community.smartthings.com/t/how-to-link-a-zwave-accessory-switch-to-zwave-sylvania-rgbw-strips/196018,6,44
429,Deals,Lowes website,https://community.smartthings.com/t/lowes-website/47698,1334,88910
430,Connected Things,Smartthings wifi: 2nd generation (ET-WV525KWEGUS),https://community.smartthings.com/t/smartthings-wifi-2nd-generation-et-wv525kwegus/133588,102,6427
431,iOS,Sonos Devices Appearing as Garage Door in Classic App (iOS) - May 31 2020,https://community.smartthings.com/t/sonos-devices-appearing-as-garage-door-in-classic-app-ios-may-31-2020/195821,18,131
432,Writing SmartApps,GFI Notify now ready - notifies your cellphone within 30 seconds when your GFI trips,https://community.smartthings.com/t/gfi-notify-now-ready-notifies-your-cellphone-within-30-seconds-when-your-gfi-trips/168321,2,248
433,Devices & Integrations,Push2Run anyone? Does it work with Webcore?,https://community.smartthings.com/t/push2run-anyone-does-it-work-with-webcore/196009,1,54
434,Community Created SmartApps,EchoSpeaks: Issuing a verbal command via WebCore,https://community.smartthings.com/t/echospeaks-issuing-a-verbal-command-via-webcore/195976,5,66
435,Projects & Stories,Jinvoo Smart Valve SM-AW713 or other cheap valve setup?,https://community.smartthings.com/t/jinvoo-smart-valve-sm-aw713-or-other-cheap-valve-setup/156825,3,1098
436,Deals,Amazon Prime Day - September 2020?,https://community.smartthings.com/t/amazon-prime-day-september-2020/190112,4,273
437,Writing Device Types,Values not persistent/remaining when changed in custom device,https://community.smartthings.com/t/values-not-persistent-remaining-when-changed-in-custom-device/195991,1,36
438,Devices & Integrations,Can'y see my Xiaomi Aqara Motion Sensor in Google Home,https://community.smartthings.com/t/cany-see-my-xiaomi-aqara-motion-sensor-in-google-home/195965,2,48
439,Writing Device Types,Help with DTH and 'tile' in new app,https://community.smartthings.com/t/help-with-dth-and-tile-in-new-app/195981,2,46
440,How-To,REST API for display/light on Samsung Windfree AC,https://community.smartthings.com/t/rest-api-for-display-light-on-samsung-windfree-ac/195928,1,51
441,Community Created Device Types,[BETA] Z-Wave Tweaker,https://community.smartthings.com/t/beta-z-wave-tweaker/81558,128,19372
442,Devices & Integrations,Why my new US hub V3 doesnt have GitHub integration?,https://community.smartthings.com/t/why-my-new-us-hub-v3-doesnt-have-github-integration/195975,5,69
443,Projects & Stories,Brand new to ST-waiting on my HUB-Help me to NOT screw it up :) (Kasa TPLink and Tuya devices),https://community.smartthings.com/t/brand-new-to-st-waiting-on-my-hub-help-me-to-not-screw-it-up-kasa-tplink-and-tuya-devices/195883,6,79
444,SmartApps & Automations,Virtual Dimmer's automation confuses Scene Switching,https://community.smartthings.com/t/virtual-dimmers-automation-confuses-scene-switching/195815,3,49
445,Writing Device Types,"Error message in New App for custom DTH with ""Air Conditioner Mode"" capability",https://community.smartthings.com/t/error-message-in-new-app-for-custom-dth-with-air-conditioner-mode-capability/195753,4,68
446,Writing SmartApps,Best way to test a smartapp?,https://community.smartthings.com/t/best-way-to-test-a-smartapp/188188,5,154
447,Devices & Integrations,Wave Sensor ( non contact ) - finding one,https://community.smartthings.com/t/wave-sensor-non-contact-finding-one/195930,7,74
448,Devices & Integrations,Control heat exchanger with thermostat?,https://community.smartthings.com/t/control-heat-exchanger-with-thermostat/192279,2,60
449,Devices & Integrations,A probable integration problem of Alexa and Smartthings,https://community.smartthings.com/t/a-probable-integration-problem-of-alexa-and-smartthings/195944,4,70
450,Community Created Device Types,Hayward AquaConnect Device Handler,https://community.smartthings.com/t/hayward-aquaconnect-device-handler/87728,38,2638
451,Devices & Integrations,Smartthings Wifi not working with some websites!,https://community.smartthings.com/t/smartthings-wifi-not-working-with-some-websites/150485,9,408
452,Devices & Integrations,Moisture sensor in new app,https://community.smartthings.com/t/moisture-sensor-in-new-app/195642,7,102
453,How-To,"FAQ: Get a Notification if Something is Left On, Open, or Unlocked for X Minutes (2020)",https://community.smartthings.com/t/faq-get-a-notification-if-something-is-left-on-open-or-unlocked-for-x-minutes-2020/195866,1,120
454,General Discussion,Smartthing Hub V3 (2018) fails setup,https://community.smartthings.com/t/smartthing-hub-v3-2018-fails-setup/175078,25,539
455,Devices & Integrations,SmartThings control of LG webOS 3.0 TVs?,https://community.smartthings.com/t/smartthings-control-of-lg-webos-3-0-tvs/75302,34,32065
456,Connected Things,Go Control siren integration,https://community.smartthings.com/t/go-control-siren-integration/195897,12,70
457,Connected Things,Pair Z-Wave device near hub or in final place?,https://community.smartthings.com/t/pair-z-wave-device-near-hub-or-in-final-place/195940,6,70
458,Devices & Integrations,Treatlife integration?,https://community.smartthings.com/t/treatlife-integration/195938,1,49
459,Devices & Integrations,Ryobi modular smart garage door opener,https://community.smartthings.com/t/ryobi-modular-smart-garage-door-opener/44294,177,23418
460,Community Created SmartApps,Smart Sprinkler System,https://community.smartthings.com/t/smart-sprinkler-system/3076,505,53163
461,Automation Ideas,Trying to turn my analog dryer smart,https://community.smartthings.com/t/trying-to-turn-my-analog-dryer-smart/183081,25,477
462,Devices & Integrations,Z-Wave/Zigbee range extender,https://community.smartthings.com/t/z-wave-zigbee-range-extender/169508,9,380
463,Connected Things,Looking for robot mop and sanitizer,https://community.smartthings.com/t/looking-for-robot-mop-and-sanitizer/36272,5,1142
464,Community Created SmartApps,[Release] SHM Delay Version 2.0,https://community.smartthings.com/t/release-shm-delay-version-2-0/121800,1488,56251
465,Devices & Integrations,MQTT Device Type?,https://community.smartthings.com/t/mqtt-device-type/188337,7,128
466,Android,New Smartthings app and Android 10,https://community.smartthings.com/t/new-smartthings-app-and-android-10/172181,48,4455
467,Devices & Integrations,Can't add back Smart TV,https://community.smartthings.com/t/cant-add-back-smart-tv/183468,9,264
468,Automation Ideas,Smartthings with Galaxy Watch and lights,https://community.smartthings.com/t/smartthings-with-galaxy-watch-and-lights/151371,3,946
469,Devices & Integrations,Level smart lock,https://community.smartthings.com/t/level-smart-lock/175232,11,951
470,How-To,How to migrate from Wink to SmartThings,https://community.smartthings.com/t/how-to-migrate-from-wink-to-smartthings/192845,27,4513
471,Devices & Integrations,Smartthings camera,https://community.smartthings.com/t/smartthings-camera/173844,6,221
472,Devices & Integrations,Sony Bravia TV Integration - Discussion,https://community.smartthings.com/t/sony-bravia-tv-integration-discussion/29976,53,22142
473,Community Created Device Types,New Sony Bravia TV integration for 2015 - 2016 alpha,https://community.smartthings.com/t/new-sony-bravia-tv-integration-for-2015-2016-alpha/64357,421,31760
474,Community Created SmartApps,St-Community-Installer,https://community.smartthings.com/t/st-community-installer/195901,4,95
475,Devices & Integrations,Product Suggestion,https://community.smartthings.com/t/product-suggestion/195902,1,57
476,Devices & Integrations,New Sonoff zigbee devices,https://community.smartthings.com/t/new-sonoff-zigbee-devices/195896,3,90
477,Connected Things,Schlage Connect BE469 Zwave Plus ZWAVE_S0_DOWNGRADE,https://community.smartthings.com/t/schlage-connect-be469-zwave-plus-zwave-s0-downgrade/181233,9,632
478,Projects & Stories,Simplest way to get aquarium temperature readings?,https://community.smartthings.com/t/simplest-way-to-get-aquarium-temperature-readings/160038,14,951
479,Devices & Integrations,Kwikset 888 lock not pairing,https://community.smartthings.com/t/kwikset-888-lock-not-pairing/161900,12,962
480,Connected Things,Kwikset 888 Lock Stuck On Checking Status,https://community.smartthings.com/t/kwikset-888-lock-stuck-on-checking-status/192496,6,153
481,SmartApps & Automations,Green Smart Hot Water Recirculator,https://community.smartthings.com/t/green-smart-hot-water-recirculator/7085,29,4114
482,SmartThings (Samsung Connect),Automation Delays in new V3 app?,https://community.smartthings.com/t/automation-delays-in-new-v3-app/195864,4,80
483,Devices & Integrations,FLS-PP issues,https://community.smartthings.com/t/fls-pp-issues/195879,2,32
484,Devices & Integrations,FLS-PP lp a ZigBee Light Link Wireless Ballast for LED Stripes,https://community.smartthings.com/t/fls-pp-lp-a-zigbee-light-link-wireless-ballast-for-led-stripes/7405,146,35314
485,Community Created Device Types,[RELEASE] Remotec ZRC-90 Scene Master - Button Device Supporting 24 Unique Button Commands,https://community.smartthings.com/t/release-remotec-zrc-90-scene-master-button-device-supporting-24-unique-button-commands/40309,160,20730
486,Community Created Device Types,[RELEASE] Enhanced Z-Wave Thermostat Device Handler with Z-Wave Plus,https://community.smartthings.com/t/release-enhanced-z-wave-thermostat-device-handler-with-z-wave-plus/7284,585,58877
